;Park Name;Type;Location;Geo Local Area;Summer hours;Winter hours;Wheelchair access;Note;Geom;geo_point_2d
87;Brewers Park;Park - Field House;North east corner fieldhouse;Kensington-Cedar Cottage;Dawn to Dusk;Closed;No;;"{""coordinates"": [-123.06542594968943, 49.247854989506635], ""type"": ""Point""}";49.247854989506635, -123.06542594968943
88;Collingwood Park;Park - Field House;South corner, fieldhouse;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.03671596074696, 49.23652996300201], ""type"": ""Point""}";49.23652996300201, -123.03671596074696
89;English Bay Beach Park;Park - Field House;Bathhouse;West End;7:00 am - Dusk;10:00 am - Dusk;Yes;;"{""coordinates"": [-123.14280496653117, 49.28615403908275], ""type"": ""Point""}";49.28615403908275, -123.14280496653117
90;Falaise Park;Park - Field House;Community Hall;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.02940598630023, 49.25512303377638], ""type"": ""Point""}";49.25512303377638, -123.02940598630023
91;Fraser River Park;Park - Public Washroom;West corner;Kerrisdale;Dawn to Dusk;Closed;No;;"{""coordinates"": [-123.14985600420111, 49.20739499780498], ""type"": ""Point""}";49.20739499780498, -123.14985600420111
92;Fraserview Golf Course;Park - Public Washroom;Kerr Road @13th hole;Killarney;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.04229966821495, 49.21129535127691], ""type"": ""Point""}";49.21129535127691, -123.04229966821495
93;Grays Park;Park - Public Washroom;Centre west by parking lot;Kensington-Cedar Cottage;Dawn to Dusk;Closed;No;;"{""coordinates"": [-123.08522025523621, 49.2409609289076], ""type"": ""Point""}";49.2409609289076, -123.08522025523621
94;Hastings Community Park;Park - Field House;Central, field house;Hastings-Sunrise;Dawn to Dusk;Closed;No;;"{""coordinates"": [-123.03787394911473, 49.28064797026025], ""type"": ""Point""}";49.28064797026025, -123.03787394911473
95;Jones Park;Park - Field House;North west corner, fieldhouse;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0683280268142, 49.236204957989564], ""type"": ""Point""}";49.236204957989564, -123.0683280268142
96;Locarno Park;Park - Field House;Concession at fieldhouse;West Point Grey;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.20655501267099, 49.275065991158456], ""type"": ""Point""}";49.275065991158456, -123.20655501267099
